id,package,domain,job_family,tier,V,R,wave,raters,recommendation,S1,S2,S3,U1,U2,U3,Q1,Q2,Q3,Q4,R1,R2,R3,H1,H2,G1,G2,G3,G4,capabilities,experts,evidence_level,confidence,one_liner
"legal/privacy-legal/pia-generation","anthropics/claude-for-legal","legal","隐私影响评估","A","77.6","60.0","W2","2","rewrite","4.5","4","3.5","2.5","4","3.5","4.5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact web connector:docs","legal product engineering","E2","high","为新功能/处理活动按团队格式生成隐私影响评估：是否需要、产品访谈、数据流、风险缓解与带责任人的上线条件"
"legal/ai-governance-legal/vendor-ai-review","anthropics/claude-for-legal","legal","AI 供应商审查","A","77.0","64.0","W2","1","rewrite","3","4","4","3","4","4","5","5","5","1","3","3","4","3","5","pass","pass","pass","pass","upload profile artifact web","legal engineering ops","E2","high","对照公司 AI 供应商立场逐条审阅 AI 协议/附录/服务条款：训练用数据、输入保密、模型变更、输出权属、责任与多层供应链转嫁"
"legal/regulatory-legal/gap-surfacer","anthropics/claude-for-legal","legal","合规检查","A","76.8","64.0","W2","1","rewrite","5","4","3","3","3","4","4","5","5","1","3","3","4","3","5","pass","pass","pass","pass","profile connector:chat artifact scheduler","legal ops","E2","med","合规缺口与征求意见追踪框架：入库去重、状态报告、到期提醒、关闭与风险接受，Slack 通知逐条确认"
"kwp/legal/review-contract","anthropics/knowledge-work-plugins","legal","合同审阅","A","76.6","80.0","W1","1","rewrite","3","4","3","4","5","4","4","5","3","1","5","3","3","5","5","pass","pass","pass","pass","upload artifact profile connector:other","legal sales","E2","med","按组织谈判 playbook 逐条审阅合同，红黄绿分级并生成修改建议与谈判策略"
"askills/xlsx","anthropics/skills","finance","办公文档生成","D","76.6","44.0","—","1","reject","3","1","5","4","4","5","5","4","4","3","1","3","4","4","5","fail","pass","pass","pass","python office_gen upload","finance data ops","E3","high","创建与编辑电子表格：输出要求、LibreOffice 强制重算、可验证公式选择、openpyxl 陷阱与财务模型规范"
"kwp/small-business/report-builder","anthropics/knowledge-work-plugins","data","仪表盘","A","76.4","74.0","W1","1","rewrite","3","4","4","4","3","4","4","5","4","2","4","3","4","5","5","pass","pass","pass","pass","upload office_gen artifact python scheduler connector:other","data finance exec","E2","med","把口述报表需求转为指标规格，拉数计算并自检，出摘要+XLSX 并保存定义以便复跑"
"kwp/sales/customer-voice","anthropics/knowledge-work-plugins","sales","用户研究综合","A","76.2","88.0","W1","1","rewrite","4","3","5","3","3","4","4","4","5","1","5","3","5","5","5","pass","pass","pass","pass","upload artifact connector:transcript connector:email connector:crm connector:docs","sales product research marketing support","E2","med","从通话转录与邮件中提取按主题聚类、带归属的客户原话"
"legal/litigation-legal/chronology","anthropics/claude-for-legal","legal","诉讼文书","A","76.2","60.0","W2","1","rewrite","4","4","3","3","4","3","5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload artifact profile connector:docs connector:email","legal research","E2","med","从文档来源抽取、去重并按案件理论标注重要性的事实时间线，含特权闸门与多种输出变体"
"mkt/product-marketing","coreyhaines31/marketingskills","marketing","档案访谈","A","76.0","64.0","W2","1","rewrite","4","5","5","2","4","4","3","4","3","3","3","3","4","4","4","pass","pass","pass","pass","profile upload artifact","marketing product sales","E2","high","访谈或从代码库自动起草产品营销上下文文档（12 节定位/ICP/语气/证据），带版本与变更日志供其他技能共用"
"legal/employment-legal/international-expansion","anthropics/claude-for-legal","legal","出海扩张","A","76.0","64.0","W2","1","rewrite","5","3","4","1","5","4","4","5","4","1","3","3","4","3","5","pass","pass","pass","pass","profile artifact connector:pm","legal hr finance exec","E2","med","新国家首批招聘的实施规划：EOR vs 实体取舍框架、税务/财务/HR 跨职能提问、外部律师简报请求与持久跟踪表"
"mkt/marketing-loops","coreyhaines31/marketingskills","marketing","营销自动化循环","A","76.0","34.0","W3","1","rewrite","4","4","3","4","3","2","5","5","5","3","1","2","3","4","4","pass","pass","pass","pass","scheduler subagent artifact profile connector:other","marketing ops","E3","med","设计按节奏运行的营销循环：九要素规格、节奏匹配信号速度、状态幂等、两级动作审批与熔断"
"legal/privacy-legal/use-case-triage","anthropics/claude-for-legal","legal","隐私分诊","A","75.6","60.0","W2","1","rewrite","4","3","4","4","3","4","4","5","5","1","3","3","3","3","5","pass","pass","pass","pass","profile artifact web upload","legal product engineering","E2","high","快速判断一项数据处理活动是可直接推进、需做 PIA、法定必须 DPIA 还是因与隐私政策冲突而停止，并列出前置条件"
"legal/product-legal/marketing-claims-review","anthropics/claude-for-legal","legal","宣传合规","A","75.6","60.0","W2","1","rewrite","4","3","4","4","3","4","4","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact web","legal marketing product","E2","high","逐条抽取营销文案中的事实/比较/暗示/绝对化表述，检查佐证并给出保留气势的改写"
"kwp/small-business/build-agent","anthropics/knowledge-work-plugins","other","技能构建","A","75.4","62.0","W2","1","rewrite","3","4","5","2","4","4","4","4","4","2","3","2","5","5","5","pass","pass","pass","pass","subagent scheduler artifact","ops other","E2","med","把店主反复手工做的任务提炼为带审批点的可复用技能，实测后注册到路由并可共享"
"mkt/competitor-profiling","coreyhaines31/marketingskills","marketing","竞品分析","A","75.4","64.0","W2","1","rewrite","4","4","4","3","4","4","3","4","4","3","3","3","4","4","4","pass","pass","pass","pass","web artifact profile connector:other","marketing product sales research","E2","med","输入竞品 URL，抓取官网/定价/评价并结合 SEO 数据，产出结构化竞品档案与汇总"
"kwp/product-management/stakeholder-update","anthropics/knowledge-work-plugins","product-management","状态汇报","A","75.2","84.0","W1","1","rewrite","5","3","4","4","3","4","4","4","3","0","4","4","5","5","5","pass","pass","pass","pass","connector:pm connector:chat connector:transcript connector:docs artifact","product ops exec","E2","med","按受众与节奏生成干系人进展汇报（高管/工程/协作方/客户/发布），含红黄绿与风险沟通"
"legal/corporate-legal/closing-checklist","anthropics/claude-for-legal","legal","交割清单","A","75.2","60.0","W2","1","rewrite","5","3","3","3","4","3","4","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload artifact profile scheduler connector:chat connector:email","legal finance","E2","med","从收购协议初始化交割清单，自动吸收尽调发现的交割前事项，跟踪状态与关键路径"
"legal/corporate-legal/diligence-issue-extraction","anthropics/claude-for-legal","legal","尽调","A","75.0","60.0","W2","1","rewrite","4","3","3","3","5","4","4","4","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact web connector:docs connector:other subagent","legal finance","E2","high","按公司分类与重要性阈值阅读数据室文件，按公司备忘格式抽取尽调问题并交接交割事项"
"legal/commercial-legal/saas-msa-review","anthropics/claude-for-legal","legal","合同审阅","A","75.0","60.0","W2","2","rewrite","3.5","4","3","3","4","3.5","5","4.5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact web connector:other","legal ops","E2","med","在通用 playbook 审阅之上叠加 SaaS 专项：自动续约、调价、数据退出、SLA、分处理者与 AI 训练权"
"legal/ai-governance-legal/policy-monitor","anthropics/claude-for-legal","legal","政策漂移监测","A","74.9","64.0","W2","2","rewrite","4.5","5","2.5","3.5","3","3","4","5","4.5","1","3","3","4","3","5","pass","pass","pass","pass","profile artifact scheduler connector:docs","legal product","E2","med","扫描已保存的 AIA/分诊/供应商审查产出，发现 AI 政策与实际 AI 用法的漂移并起草修订文本与用例台账条目"
"kwp/small-business/crm-autopilot","anthropics/knowledge-work-plugins","sales","CRM 维护","A","74.8","58.0","W2","1","rewrite","5","4","3","4","2","3","3","5","5","1","3","2","4","5","5","pass","pass","pass","pass","connector:crm connector:email connector:calendar connector:transcript connector:chat artifact","sales","E2","med","从邮件、日历、会议转录自动记录 CRM 活动，给沉寂商机起草跟进并做数据卫生清理"
"kwp/enterprise-search/search","anthropics/knowledge-work-plugins","enterprise-search","企业检索","A","74.8","68.0","W2","1","rewrite","5","3","5","5","2","4","3","4","3","0","3","3","5","5","5","pass","pass","pass","pass","connector:chat connector:email connector:docs connector:pm connector:crm","ops research product","E2","med","一次查询并行检索所有已连接来源，去重排序后合成带来源的答案"
"kwp/sales/competitive-intelligence","anthropics/knowledge-work-plugins","sales","竞品分析","A","74.6","84.0","W1","1","rewrite","4","4","4","3","3","3","4","4","5","1","5","3","4","5","5","pass","pass","pass","pass","web upload artifact connector:crm connector:transcript connector:email connector:other scheduler profile","sales marketing product","E2","med","交易内对指定竞品的打法，以及跨客户盘的赢输模式、客户原话与持续刷新的 battlecard"
"legal/employment-legal/internal-investigation","anthropics/claude-for-legal","legal","内部调查","A","74.6","60.0","W2","1","rewrite","4","3","3","2","5","3","5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact connector:email connector:chat","legal hr","E2","high","内部调查全流程框架：立案与来源清单、按拉取准则筛文件、调查日志问答、调查备忘录与分受众摘要"
"kwp/product-management/synthesize-research","anthropics/knowledge-work-plugins","product-management","用户研究综合","A","74.4","94.0","W1","2","direct","4","3","4","3","4","4.5","4","4","3.5","0","5","4","5","5","5","pass","pass","pass","pass","upload connector:transcript connector:docs connector:other artifact","product research support","E2","med","把访谈、问卷、工单等研究材料综合为按频次×影响排序的发现、画像、机会与建议"
"legal/commercial-legal/renewal-tracker","anthropics/claude-for-legal","legal","续约跟踪","A","74.4","64.0","W2","1","rewrite","4","4","3","4","3","4","4","5","4","1","3","3","4","3","5","pass","pass","pass","pass","artifact profile scheduler connector:chat connector:other","legal finance ops","E3","med","维护合同续约登记册，按工作日回滚与邮寄在途时间计算取消截止日并分级预警"
"legal/ai-governance-legal/policy-starter","anthropics/claude-for-legal","legal","AI 使用政策","A","74.4","60.0","W2","1","rewrite","4","4","4","1","4","4","4","5","5","1","3","3","3","3","5","pass","pass","pass","pass","profile web artifact office_gen","legal hr exec engineering","E2","high","先做范围访谈，再检索公开的示范 AI 政策与监管指引，按选定章节起草带来源与 [review] 决策点的内部 AI 使用政策草案"
"legal/regulatory-legal/policy-redraft","anthropics/claude-for-legal","legal","合规检查","A","74.4","64.0","W2","1","rewrite","4","4","3","3","4","3","4","5","5","1","3","3","4","3","5","pass","pass","pass","pass","upload artifact profile connector:docs","legal ops","E2","med","针对缺口生成政策最小改动的修订提案（含修订理由与待核标注），写入新文件不覆盖原政策"
"legal/commercial-legal/nda-review","anthropics/claude-for-legal","legal","NDA 审阅","A","74.2","64.0","W2","2","rewrite","3.5","4","3","4","2.5","4","4.5","5","5","1","3","3","4","3","5","pass","pass","pass","pass","upload profile artifact connector:other","legal sales","E2","high","按团队 playbook 把来件 NDA 快速分为绿/黄/红三档，识别夹带条款并给最小颗粒度修改建议"
"kwp/small-business/hiring-screener","anthropics/knowledge-work-plugins","hr","简历筛选","A","74.2","80.0","W1","1","rewrite","4","2","3","3","4","4","4","5","5","1","5","3","3","5","5","pass","pass","pass","pass","upload artifact connector:email connector:calendar connector:other","hr","E2","med","只按岗位评分表给简历打分分档，起草所有候选人回复、安排面试并生成入职清单"
"kwp/sales/call-prep","anthropics/knowledge-work-plugins","sales","会前准备","A","74.0","60.0","W2","1","rewrite","4","3","3","4","3","3","4","5","5","1","3","3","3","5","5","pass","pass","pass","pass","upload artifact connector:calendar connector:crm connector:transcript connector:email connector:docs connector:chat profile","sales support","E2","med","客户会议前汇总参会人、客户历史、过往通话要点与机会状态，给出会谈目标与发现式问题"
"kwp/sales/create-an-asset","anthropics/knowledge-work-plugins","sales","内容创作","A","74.0","84.0","W1","1","rewrite","4","3","3","3","4","3","4","4","5","2","5","3","4","5","5","pass","pass","pass","pass","upload artifact office_gen connector:docs connector:crm connector:transcript connector:email profile","sales marketing","E2","med","基于已批准材料与客户数据生成定制的客户 deck、一页纸或留存资料，数字全部带出处"
"legal/regulatory-legal/reg-feed-watcher","anthropics/claude-for-legal","legal","法规监测","A","74.0","46.0","W2","1","rewrite","4","4","3","4","3","3","4","5","5","1","3","2","1","3","5","pass","pass","pass","pass","web profile scheduler connector:chat artifact","legal research ops","E3","med","拉取监管信息源并按重要性阈值过滤分级，输出摘要并登记征求意见期限、衔接政策差异分析"
"legal/corporate-legal/integration-management","anthropics/claude-for-legal","legal","并购整合","A","73.8","60.0","W2","1","rewrite","5","3","3","3","4","3","4","5","4","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact office_gen connector:docs","legal finance ops","E2","med","并购交割后法务整合跟踪：按 Day1/30/90/180 工作计划、同意事项与合同转让分层并出周报"
"askills/skill-creator","anthropics/skills","engineering","Skill 编写","A","73.8","48.0","W3","1","rewrite","3","4","3","2","4","3","5","5","3","5","1","3","5","4","5","pass","pass","pass","pass","python subagent browser artifact","engineering other","E3","high","创建与迭代 skill：意图访谈、写 SKILL.md、测试用例、有/无 skill 基线并行运行、断言评分、基准聚合、人工评审与描述触发优化"
"alir/project-management/senior-pm","alirezarezvani/claude-skills","ops","状态汇报","A","73.6","44.0","W3","1","rewrite","4","3","4","4","4","4","4","4","3","2","1","3","4","4","3","pass","pass","pass","pass","python upload connector:pm artifact","ops exec","E3","med","组合级项目管理：多维健康评分、EMV 风险矩阵、资源产能、优先级模型与高管报告"
"legal/privacy-legal/dpa-review","anthropics/claude-for-legal","legal","DPA 审阅","A","73.4","60.0","W2","1","rewrite","3","4","3","3","4","3","5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact web connector:other","legal","E2","high","按处理者/控制者方向分别对照 DPA playbook 逐条审阅数据处理协议，含行业监管叠加与隐私政策一致性检查"
"legal/privacy-legal/policy-monitor","anthropics/claude-for-legal","legal","政策漂移监测","A","73.4","58.0","W2","2","rewrite","4","4.5","2.5","3.5","3","3","4.5","5","4.5","1","3","3","2.5","3","5","pass","pass","pass","pass","profile artifact upload scheduler connector:docs","legal product marketing","E3","med","扫描已保存的 PIA/DPA/分诊/DSAR 产出，发现隐私政策与实际做法的漂移并起草修订文本；也可即时查询新做法是否被覆盖"
"legal/litigation-legal/demand-received","anthropics/claude-for-legal","legal","风险评估","A","73.4","60.0","W2","2","rewrite","4","3.5","2","3.5","4","3","4.5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload artifact profile","legal","E2","med","分诊收到的律师函：抽取要素、交叉检查事项组合、评估强弱、给出回应选项与建议"
"kwp/enterprise-search/knowledge-synthesis","anthropics/knowledge-work-plugins","enterprise-search","知识综合","A","73.4","81.0","W1","2","rewrite","3.5","3","5","5","2","4.5","3.5","3.5","3.5","1","4","3.5","5","5","5","pass","pass","pass","pass","connector:docs connector:chat web upload","research ops support","E2","med","把多源检索结果去重、聚类、按新鲜度与权威性评估置信并合成带引用的答案"
"legal/commercial-legal/review","anthropics/claude-for-legal","legal","路由编排","A","73.3","62.0","W2","2","rewrite","3.5","3.5","3","4","4","4","3.5","4.5","4.5","1","3","3","3.5","3","5","pass","pass","pass","pass","upload profile artifact office_gen connector:docs connector:other","legal","E2","med","识别来件合同的主协议与附件结构，路由到 NDA/供应商/SaaS 审阅技能并合成单份审阅备忘"
"kwp/small-business/grant-rfp-writer","anthropics/knowledge-work-plugins","sales","投标书","A","73.2","76.0","W1","1","rewrite","3","4","2","2","5","2","5","5","5","2","5","3","2","5","5","pass","pass","pass","pass","upload web artifact office_gen profile connector:docs connector:calendar","sales ops","E2","med","筛选可投的资助/招标机会，先做硬性 go/no-go，再按合规矩阵用真实材料起草并跟踪中标后义务"
"legal/litigation-legal/matter-intake","anthropics/claude-for-legal","legal","事项管理","A","73.2","56.0","W2","1","rewrite","5","4","2","3","3","3","4","5","5","1","3","3","2","3","5","pass","pass","pass","pass","profile artifact upload","legal","E2","med","新事项统一立案：识别、利冲、来源、风险分级、重要性、外所、负责人、保全与关键日期"
"askills/docx","anthropics/skills","ops","办公文档生成","D","73.0","48.0","—","1","reject","3","1","5","4","3","5","5","4","3","3","1","3","5","4","5","fail","pass","pass","pass","office_gen python upload","ops legal","E3","high","创建、读取、编辑 Word 文档：docx-js 生成陷阱、解包编辑 XML、修订痕迹、批注与渲染校验"
"kwp/small-business/outreach-composer","anthropics/knowledge-work-plugins","sales","外联序列","A","72.8","75.0","W1","2","rewrite","3","4","3","3.5","3","3","4","5","5","1.5","4.5","3","3","5","5","pass","pass","pass","pass","artifact profile connector:email connector:crm","sales marketing","E2","med","从店主已发邮件学语气，基于具体钩子写外联序列，经 slop 自检与批准后排队并记 CRM"
"alir/c-level-advisor/decision-logger","alirezarezvani/claude-skills","exec","决策记录","A","71.8","62.0","W2","1","rewrite","4","5","4","3","3","4","3","4","3","2","3","2","5","4","3","pass","pass","pass","pass","profile artifact python","exec ops","E3","med","两层决策记忆：原始记录与已批准决策分层，追踪行动项、冲突与“不再重提”"
"kwp/product-management/competitive-brief","anthropics/knowledge-work-plugins","product-management","竞品分析","A","71.6","88.0","W1","2","rewrite","3.5","3","4.5","2.5","4","4.5","4","4","2.5","0","5","4","3.5","5","5","pass","pass","pass","pass","web connector:docs connector:chat artifact","product exec research sales","E2","med","面向产品策略的竞品简报：功能对比矩阵、定位分析、赢单/丢单、趋势与战略含义"
"legal/ip-legal/ip-clause-review","anthropics/claude-for-legal","legal","合同审阅","A","71.4","60.0","W2","2","rewrite","3","3","3","3.5","3.5","3.5","5","5","4.5","1","3","3","3","3","5","pass","pass","pass","pass","upload artifact profile connector:docs","legal","E2","med","审阅合同中的 IP 条款（转让、许可、保证、赔偿），先查转让缺口，按严重度给出最小粒度改稿"
"mkt/marketing-plan","coreyhaines31/marketingskills","marketing","营销计划","A","71.3","73.0","W1","2","rewrite","4","4","3","1","5","2.5","4","5","3","3","4.5","3","2.5","4","4","pass","pass","pass","pass","upload artifact profile","marketing exec","E2","med","以 fCMO 视角产出 13 节 AARRR 结构的 12 个月营销计划，分 INIT/REVIEW/FINALIZE 可续做"
"legal/employment-legal/termination-review","anthropics/claude-for-legal","legal","风险评估","A","71.2","52.0","W2","2","reference","3.5","3","2.5","2.5","4.5","2.5","5","5","5","1","3","3","1","3","5","pass","pass","pass","pass","upload profile web artifact connector:other","legal hr","E2","med","解雇前审查：高风险标记扫描、豁免误分类、最终工资时限、遣散与弃权要求及解雇日清单"
"kwp/sales/inbox-sweep","anthropics/knowledge-work-plugins","sales","回复起草","A","71.1","62.0","W2","2","rewrite","3.5","2.5","3","5","3","2.5","3.5","5","5","0.5","3","3","3.5","5","5","pass","pass","pass","pass","upload artifact connector:email connector:crm connector:calendar profile","sales support","E2","med","批量分类未读客户邮件、按优先级排序并以本人文风起草线程内回复"
"legal/ai-governance-legal/reg-gap-analysis","anthropics/claude-for-legal","legal","法规差距分析","A","70.9","62.0","W2","2","rewrite","4","3.5","3","2","4","3","4","4.5","5","1","3","3","3.5","3","5","pass","pass","pass","pass","upload profile artifact web connector:pm","legal product engineering","E2","med","把新 AI 法规/指引拆解为逐条要求，区分提供者与部署者，对照用例台账、供应商立场与 AI 政策找差距并出整改计划"
"askills/internal-comms","anthropics/skills","ops","状态汇报","A","70.6","68.0","W2","1","rewrite","4","3","5","5","2","5","2","4","2","1","3","3","5","4","5","pass","pass","pass","pass","connector:chat connector:docs connector:email connector:calendar artifact","ops exec product","E3","med","按公司偏好格式撰写内部沟通：3P 周报、公司通讯、FAQ、状态与事故报告，按类型加载示例规范"
"kwp/small-business/contract-review","anthropics/knowledge-work-plugins","legal","合同审阅","A","70.5","80.0","W1","2","rewrite","3","1","3","3","4.5","4","4","5","5","1","5","3","3","5","5","pass","pass","pass","pass","upload artifact office_gen connector:email connector:docs","legal ops","E2","med","为无法务的小企业按 8 类风险审阅 NDA/MSA 等合同，分级提示并输出修订版 DOCX"
"kwp/small-business/social-content-engine","anthropics/knowledge-work-plugins","marketing","内容创作","A","70.5","55.0","W2","2","reference","3.5","3.5","2","4","3","2","4","5","5","1.5","3.5","2","2","5","5","pass","pass","pass","pass","connector:other connector:crm artifact connector:docs","marketing","E2","med","维护滚动发帖日历、学语气、生成 Canva 图、写文案并暂存待批，不自动发布"
"legal/ip-legal/cease-desist","anthropics/claude-for-legal","legal","知识产权","A","70.5","56.0","W2","2","rewrite","3.5","3","2","2","5","2.5","5","5","5","1","3","3","2","3","5","pass","pass","pass","pass","upload artifact office_gen web profile connector:other","legal","E2","med","起草或分诊商标/著作权警告函：发函按执法姿态校准并设发送闸门，收函出选项备忘录"
"kwp/sales/account-plan","anthropics/knowledge-work-plugins","sales","客户经营计划","A","70.3","67.0","W2","2","rewrite","5","3.5","2.5","2","3.5","2.5","3","4","5","1","3.5","3","3.5","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:docs connector:transcript connector:email connector:other profile","sales","E2","med","汇总客户现状、目标、干系人覆盖、机会与风险，生成可持续刷新的战略客户计划并回写 CRM 摘要"
"kwp/sales/stakeholder-map","anthropics/knowledge-work-plugins","sales","客户研究","A","70.3","79.0","W1","2","rewrite","4","3","3","3","3","3","4","4","5","0.5","4.5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:calendar connector:transcript connector:chat profile","sales","E2","med","绘制交易或客户中的干系人地图：角色、影响力、态度、缺失角色与接触路径"
"legal/litigation-legal/demand-draft","anthropics/claude-for-legal","legal","诉讼文书","A","70.3","56.0","W2","2","rewrite","3.5","3","2","2.5","4.5","2.5","5","5","5","1","3","3","2","3","5","pass","pass","pass","pass","upload artifact office_gen profile","legal","E2","med","基于接案记录起草律师函/催告函，先过特权、自认、和解通讯等门槛，输出 docx 与发送后清单"
"kwp/small-business/ticket-deflector","anthropics/knowledge-work-plugins","support","回复起草","A","70.0","74.0","W1","2","reference","4","3","2.5","4.5","2","2","4","5","5","1","4.5","2.5","3.5","5","5","pass","pass","pass","pass","upload artifact connector:email connector:crm connector:other connector:chat","support","E2","med","读客户来信，查订单/付款/CRM/工单，按退款政策起草回复，退款需单独确认；可主动排查问题订单"
"kwp/sales/customer-health","anthropics/knowledge-work-plugins","sales","客户健康度","A","69.9","69.0","W2","2","rewrite","4","3","3","3","3","3","3.5","4","5","1","3.5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:calendar connector:docs connector:transcript profile","sales support","E2","med","对客户关系、互动趋势、商务、支持与价值交付打红黄绿并生成 QBR 准备包"
"kwp/enterprise-search/digest","anthropics/knowledge-work-plugins","enterprise-search","动态摘要","A","69.8","68.0","W2","2","rewrite","4.5","2","5","5","2","4","2.5","4","2.5","0","3","3","5","5","5","pass","pass","pass","pass","connector:chat connector:email connector:docs connector:pm connector:crm scheduler","ops exec product","E2","med","扫描聊天/邮件/文档/任务等来源，按项目归组生成日报或周报式动态摘要，行动项置顶"
"kwp/legal/triage-nda","anthropics/knowledge-work-plugins","legal","NDA 审阅","A","69.8","86.0","W1","2","direct","3","3","3","4","2.5","4","4.5","5","2.5","1.5","5","4","3","5","5","pass","pass","pass","pass","upload artifact profile","legal sales finance","E2","high","按十项筛查标准对来件 NDA 快速分级（绿/黄/红）并给出路由与修改建议"
"kwp/small-business/business-pulse","anthropics/knowledge-work-plugins","ops","经营简报","A","69.8","45.0","W3","2","rewrite","4","2.5","3","4.5","3","2.5","3","5","4","1","2","2.5","2.5","5","5","pass","pass","pass","pass","connector:other connector:crm connector:calendar connector:email connector:chat artifact","exec finance","E2","med","并行拉取账本、收款、CRM、日历、邮件等生成一页经营快照与今日首要事项"
"kwp/sales/route-lead","anthropics/knowledge-work-plugins","sales","路由编排","A","69.6","79.0","W1","2","reference","4.5","4","2","3.5","2","2","3.5","4.5","5","1.5","4.5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:chat connector:email scheduler profile","sales ops","E2","med","按组织自有规则确定性地为线索或商机分配 owner，生成可接受/覆盖的路由卡与交接说明"
